bjdCode,codeAptNm,codeHallNm,codeHeatNm,codeMgrNm,codeSaleNm,address,hoCnt,kaptAcompany,kaptAddr,kaptBaseFloor,kaptBcompany,kaptCode,kaptDongCnt,kaptFax,kaptMarea,kaptMparea_135,kaptMparea_136,kaptMparea_60,kaptMparea_85,kaptName,kaptTarea,kaptTel,kaptTopFloor,kaptUrl,kaptUsedate,kaptdEcntp,kaptdaCnt,ktownFlrNo,privArea,zipcode,cleaned_address,lat,lon,전기사용량
1121510400,아파트,계단식,개별난방,위탁관리,분양,서울특별시 광진구 천호대로 808,119.0,국제약품,서울특별시 광진구 광장동 580- 현대홈타운12차,2.0,현대건설(주),A14375303,2,024441357,21360.36,0.0,119.0,0.0,0.0,현대홈타운12차,32488.03,024445112,21, ,20040901.0,4.0,119.0,21.0,17260.88,4983.0,서울특별시 광진구 광장동 580-,37.545073523534,127.102739572749,0
1121510500,아파트,계단식,개별난방,위탁관리,분양,서울특별시 광진구 능동로4길 40,279.0,인정건설,서울특별시 광진구 자양동 856- 이튼타워리버5차,2.0,인정건설,A14377402,4,024973201,39812.92,62.0,48.0,0.0,169.0,이튼타워리버5차,62049.75,024973200,23,이튼5차.apti.co.kr,20090915.0,8.0,279.0,23.0,29857.04,5096.0,서울특별시 광진구 자양동 856-,37.5321114084584,127.069454223606,0
1121510400,아파트,계단식,중앙난방,위탁관리,분양,서울특별시 광진구 아차산로 552,896.0,대한제지,서울특별시 광진구 광장동 218-1 극동2차아파트,0.0,극동건설,A14380414,11,024542097,99012.48,84.0,56.0,0.0,756.0,극동2차아파트,99012.48,024542096,14,www.kukdong2.co.kr,19890324.0,32.0,896.0,14.0,80168.48,4971.0,서울특별시 광진구 광장동 218-1,37.5436567301031,127.104250290998,0
1121510400,아파트,계단식,개별난방,위탁관리,분양,서울특별시 광진구 아차산로 599,302.0,신동아건설,서울특별시 광진구 광장동 250- 광장신동아파밀리에,2.0,신동아건설,A14380605,8,024522182,45771.12,0.0,0.0,0.0,302.0,광장신동아파밀리에,46888.63,024522181,12, ,20071015.0,8.0,302.0,12.0,25574.78,4968.0,서울특별시 광진구 광장동 250-,37.5469076897327,127.104175719093,0
1121510400,아파트,계단식,개별난방,위탁관리,분양,서울특별시 광진구 아차산로76길 31,380.0,현대산업개발,서울특별시 광진구 광장동 567- 광장동 광나루현대,2.0,현대산업개발,A14381407,3,0234373519,49330.15,0.0,0.0,0.0,380.0,광장동 광나루현대,50237.27,0222011263,22, ,19960417.0,11.0,380.0,22.0,32262.34,4969.0,서울특별시 광진구 광장동 567-,37.5474346593522,127.108798634541,0
1121510400,아파트,계단식,개별난방,위탁관리,분양,서울특별시 광진구 광나루로 579,242.0,(주)금호건설,서울특별시 광진구 광장동 578- 광장동금호베스트빌,2.0,(주)금호건설,A14381504,4,0234379349,24151.08,0.0,0.0,76.0,166.0,광장동금호베스트빌,32606.6,0234379348,20,openapt.seoul.go.kr,20010618.0,7.0,242.0,20.0,18649.74,4984.0,서울특별시 광진구 광장동 578-,37.5441187219211,127.093994231168,0
1121510400,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 광진구 아차산로 544,360.0,삼성종합건설,"서울특별시 광진구 광장동 453-1 광장삼성1,2차",0.0,삼성종합건설,A14381506,3,024478506,34066.11,0.0,0.0,75.0,285.0,"광장삼성1,2차",34066.11,024472221,15, ,19871229.0,6.0,360.0,15.0,25737.75,4971.0,서울특별시 광진구 광장동 453-1,37.5427283212368,127.101793894122,0
1121510400,아파트,계단식,개별난방,자치관리,분양,서울특별시 광진구 아차산로69길 19,437.0,현대건설직장주택조합외3개,서울특별시 광진구 광장동 576- 광장현대9차,3.0,현대건설,A14381508,5,0262129552,41763.1,0.0,0.0,223.0,214.0,광장현대9차,52402.96,024449551,25, ,19990430.0,11.0,437.0,25.0,31554.75,4984.0,서울특별시 광진구 광장동 576-,37.5430014972726,127.097967267252,0
1121510400,아파트,혼합식,개별난방,자치관리,분양,서울특별시 광진구 아차산로 522,537.0,현대건설(주),서울특별시 광진구 광장동 565- 광장현대8단지,2.0,현대건설(주),A14381510,3,024473587,58807.8,0.0,0.0,94.0,443.0,광장현대8단지,69686.0,024565863,25, ,19950327.0,11.0,537.0,25.0,43256.74,4974.0,서울특별시 광진구 광장동 565-,37.54180907842,127.098983289211,0
1121510400,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 광진구 아차산로70길 61,581.0,현대건설직장조합주택,서울특별시 광진구 광장동 554-7 광장현대5단지,1.0,현대건설(주),A14381512,6,024473655,43769.65,0.0,0.0,171.0,410.0,광장현대5단지,60508.0,024582778,19, ,19890421.0,11.0,581.0,19.0,43755.73,4973.0,서울특별시 광진구 광장동 554-7,37.5402253740643,127.099966734736,0
