전기사용금액,가스사용금액,난방사용금액,전기사용량,가스사용량,난방사용량,냉수사용량,온수사용량,kaptCode,냉수사용금액,온수사용금액,집계날짜
29585267,0,78684260,135678,0,0,6014,0,A13881603,10547760,0,202401
47104300,0,0,233552,0,0,13222,0,A13881701,16378760,0,202401
17083070,0,351580,0,0,0,0,0,A13882402,4944860,0,202401
21112234,0,55461130,78645,0,0,0,1586,A13883601,104420,7612800,202401
44210158,0,81715000,182529,0,29663,0,3737,A13885102,0,15321700,202401
37054550,0,81081800,127609,0,42998,4357,2546,A13885303,3468400,10133080,202401
97552159,0,146876930,323725,0,44790,11595,6463,A13885306,21807310,28764000,202401
35942736,184940,72314290,167594,0,35791,7140,3384,A13886009,13075470,17596800,202401
20944980,0,52379360,95972,0,17928,4004,2118,A13886701,5123290,10194750,202401
16395410,0,26645700,64813,0,18963,2172,1302,A13887301,4174000,8921390,202401
48156250,0,0,231132,0,0,12882,0,A13887302,16423530,0,202401
21254688,0,42450030,92467,0,343425,3918,2559,A13887403,4422920,15507540,202401
33467145,0,76322800,140501,0,529217,5761,3059,A13887405,7360250,26783810,202401
14099057,0,0,60574,0,0,3253,0,A13887901,4291100,0,202401
34571222,0,0,117925,0,0,4819,0,A13895501,5477360,0,202401
33082290,0,0,148958,0,0,9514,0,A13905003,10811370,0,202401
15067370,0,0,63996,0,0,0,0,A13905102,116000,0,202401
79656841,0,0,351861,0,0,20930,0,A13905105,25840300,0,202401
15610910,0,179950,68105,0,0,4457,0,A13905202,5319620,0,202401
5873940,0,56439470,0,0,0,0,0,A13905208,9496910,0,202401
15389400,0,0,75273,0,0,4508,0,A13905301,5335920,0,202401
19555070,0,0,106935,0,0,10029,0,A13920001,11977280,0,202401
19208837,0,0,83930,0,0,4656,0,A13920104,5299900,0,202401
17596570,310580,0,81633,0,0,4766,0,A13920105,5894560,0,202401
18887130,131230,0,0,0,0,0,0,A13920106,10233700,0,202401
20172743,0,0,117513,0,0,6538,0,A13920205,7695670,0,202401
72161860,241340,0,223236,0,0,8895,0,A14070302,10270000,0,202401
54133447,0,81276640,127478,0,438,3768,1608,A14070901,5302116,14477400,202401
125008980,0,321213920,511184,0,2333510,34086,14086,A14072701,39507270,42258000,202401
21821371,0,48894390,77417,0,296294,1763,1763,A14072901,1686860,0,202401
48576039,0,4384690,231220,0,192681,6178,0,A14075201,7209330,0,202401
12423220,0,0,72541,0,0,4026,0,A14076401,3359220,0,202401
167721612,0,0,618879,0,0,11464,0,A14077902,13442880,0,202401
0,0,0,0,0,0,0,0,A14080901,0,0,202401
14721170,0,0,83002,0,0,4198,0,A14082601,5080150,0,202401
37709180,0,153390770,151674,0,0,7803,2087,A14085002,11298740,0,202401
34734970,0,76935290,127911,0,491352,4919,3245,A14085501,9408810,0,202401
46709107,0,134073436,325178,0,145620,7154,3740,A14086001,12574920,27135030,202401
34708943,0,31870150,157182,0,231,3900,1506,A14088201,4549690,9879360,202401
0,0,0,0,0,0,0,0,A14088302,0,0,202401
13490180,0,0,61694,0,0,3580,0,A14206001,4291990,0,202401
0,0,0,0,0,0,0,0,A14206004,0,0,202401
20323323,0,0,106394,0,0,8992,0,A14206201,10209170,0,202401
39989142,209980,0,200871,0,0,12739,0,A14206202,16154450,0,202401
13760050,0,0,48457,0,0,2857,0,A14206301,3285490,0,202401
13343900,0,0,55859,0,0,3281,0,A14206302,4102550,0,202401
0,0,0,0,0,0,0,0,A14206303,0,0,202401
17109640,0,0,101176,0,0,5135,0,A14206306,5854830,0,202401
37835760,0,121371739,417847,0,150488,5907,5907,A14206310,7112680,17721000,202401
5378540,0,0,32159,0,0,2071,0,A14207201,1649700,0,202401
32559808,0,0,135967,0,0,0,0,A14207202,0,0,202401
83954155,0,0,413686,0,0,0,0,A14207203,0,0,202401
17710030,0,0,91378,0,0,4453,0,A14209001,4328560,0,202401
13589365,0,0,0,0,0,5829,0,A14210001,4381250,0,202401
25149640,0,0,101002,0,0,5397,0,A14270301,6063410,0,202401
48612970,0,0,122993,0,0,7950,0,A14272303,16001320,0,202401
106802182,1147020,0,466094,0,0,28406,0,A14272305,30003470,0,202401
57870633,0,0,255338,0,0,15487,0,A14272306,17257480,0,202401
82057190,0,0,586033,0,0,946,0,A14272308,24921680,0,202401
15310000,0,0,93665,0,0,5479,0,A14272310,4413520,0,202401
26193041,0,0,114947,0,0,5566,0,A14272313,6735830,0,202401
121705997,0,0,625569,0,0,25597,0,A14272314,27899010,0,202401
39784580,0,101316086,360629,0,182304,7422,4332,A14276311,4271345,12958000,202401
23793926,0,0,90728,0,0,5391,0,A14277601,5828220,0,202401
35811583,0,0,171969,0,0,10593,0,A14278101,12503580,0,202401
18373790,0,0,65710,0,0,3450,0,A14282301,4005810,0,202401
15238730,0,0,74954,0,0,0,0,A14286104,88740,0,202401
28274291,0,17400,124807,0,0,7369,0,A14286108,8792990,0,202401
16350230,205730,0,79424,0,0,3917,0,A14287102,4722590,0,202401
14303330,0,0,65606,0,0,0,0,A14313001,0,0,202401
19202100,0,0,40852,0,0,0,0,A14319001,33000,0,202401
11848819,417930,0,52325,0,0,0,0,A14319003,39600,0,202401
14791020,0,0,67087,0,0,4049,0,A14319006,4991520,0,202401
18229127,0,269040,86505,0,0,10366,0,A14319007,11141230,0,202401
18508109,0,0,109755,0,0,4567,0,A14319008,6336500,0,202401
31737060,0,0,6892681,0,0,0,0,A14319009,0,0,202401
34058202,0,0,159843,0,0,0,0,A14319011,0,0,202401
209376120,0,0,601473,0,0,28590,0,A14319012,34915320,0,202401
0,0,0,0,0,0,0,0,A14319013,0,0,202401
13196790,0,0,60907,0,0,0,0,A14319201,119025,0,202401
21808380,0,0,78584,0,0,4466,0,A14319203,5216260,0,202401
12743630,0,0,47191,0,0,0,0,A14319301,0,0,202401
14436296,0,0,59043,0,0,3761,0,A14319302,4837390,0,202401
19363570,0,0,82486,0,0,5146,0,A14319307,6455310,0,202401
35129420,0,0,168507,0,0,10674,0,A14319311,14110000,0,202401
14880552,1780,0,68537,0,0,4188,0,A14320001,5244830,0,202401
32768190,0,2894650,101559,0,0,4335,0,A14320002,5204200,0,202401
0,0,0,0,0,0,0,0,A14320003,0,0,202401
23422910,0,0,97443,0,0,0,0,A14320302,203550,0,202401
113425802,0,324695440,447477,0,0,20344,8753,A14320304,27805260,30635500,202401
16055790,0,0,59363,0,0,3459,0,A14321001,4017030,0,202401
12480906,0,0,53625,0,0,5786,0,A14322001,6604190,0,202401
15002881,470800,0,50262,0,0,2667,1674,A14375303,3500150,0,202401
34168748,0,0,108452,0,0,5067,0,A14377402,5906120,0,202401
69366090,0,209997900,257182,0,0,0,6257,A14380414,8934790,15642500,202401
26913840,0,0,98053,0,0,5015,0,A14380605,5896540,0,202401
28196969,0,0,107209,0,0,6714,0,A14381407,7980140,0,202401
20770690,0,0,104545,0,0,4646,0,A14381504,5370820,0,202401
20512163,0,0,90042,0,0,6456,0,A14381506,8822980,0,202401
29469106,0,0,122257,0,0,8800,0,A14381508,9855650,0,202401
85918256,0,190389063,425284,0,92829,18366,12347,A13983004,23969430,49388000,202401
2559850,2910,5980130,28556,0,6687,0,862,A13983101,-32360,2086320,202401
25070812,0,0,144933,0,0,7816,0,A13983608,9455890,0,202401
19174670,0,0,93184,0,0,6311,0,A13983707,7207140,0,202401
28861430,0,0,0,0,0,8966,0,A13983709,10261220,0,202401
11914490,0,0,47768,0,0,5018,0,A13983801,5851270,0,202401
16603070,90740,0,68045,0,0,4241,0,A13983803,4850960,0,202401
44349495,0,96943570,166752,0,43220,6235,3555,A13983811,7187780,21330000,202401
57608993,2350,133666850,274775,0,74377,18284,6349,A13983815,23326990,23491300,202401
