bjdCode,codeAptNm,codeHallNm,codeHeatNm,codeMgrNm,codeSaleNm,doroJuso,hoCnt,kaptAcompany,kaptAddr,kaptBaseFloor,kaptBcompany,kaptCode,kaptDongCnt,kaptFax,kaptMarea,kaptMparea_135,kaptMparea_136,kaptMparea_60,kaptMparea_85,kaptName,kaptTarea,kaptTel,kaptTopFloor,kaptUrl,kaptUsedate,kaptdEcntp,kaptdaCnt,ktownFlrNo,privArea,zipcode
1141011900,아파트,계단식,개별난방,위탁관리,분양,서울특별시 서대문구 증가로 200-8,235,포레빌,서울특별시 서대문구 북가좌동 459- DMC두산위브,2,두산중공업,A12013201,4,023767677,25364.5,0,0,0,235,DMC두산위브,34378.712,023767676,15, ,20070226,6,235,15,19968.255,03670
1141011900,아파트,계단식,지역난방,위탁관리,분양,서울특별시 서대문구 거북골로 154,616,삼호건설,서울특별시 서대문구 북가좌동 449- 북가좌삼호,0,삼호건설,A12013202,4,023757080,70627.38,196,0,0,420,북가좌삼호,81997,023727080,18,북가좌삼호.apti.co.kr,19960216,1,616,18,56969.64,03690
1141011200,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 서대문구 이화여대길 50-12,855,럭키건설,서울특별시 서대문구 대현동 144- 신촌럭키,0,럭키건설,A12017001,10,023650358,86844.3,75,0,315,465,신촌럭키,97520.84,023124426,15, ,19990226,18,855,15,66697.2,03764
1141010200,주상복합,복도식,개별난방,위탁관리,분양,서울특별시 서대문구 서소문로 27,258,마포로 제5구역 6-1지구 도심 재개발주택조합,서울특별시 서대문구 충정로3가 465- 충정리시온,5,대림,A12070201,1,023926132,20375.8,0,0,258,0,충정리시온,20416.42,023926112,21,cafe.daum.net/rezion465,20040923,2,258,21,10871.28,03741
1141011800,아파트,계단식,개별난방,위탁관리,분양,서울특별시 서대문구 모래내로 309,294,신성주택(주),서울특별시 서대문구 홍은동 456- 홍은두산,0,두산건설(주),A12071001,3,023951473,28118.94,0,0,90,204,홍은두산,33403.81,023951472,15, ,19971013,11,294,15,22682.91,03657
1141011800,아파트,혼합식,개별난방,자치관리,분양,서울특별시 서대문구 연희로41길 102,300,라이프주택,서울특별시 서대문구 홍은동 186-1 홍은미성아파트,0,라이프주택,A12071003,4,0232175387,35649.564,96,0,0,204,홍은미성아파트,36310.86,0232175385,12, ,19850320,11,300,12,28423.68,03648
1141011700,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 서대문구 연희로32길 48,581,연희3동B지구재건축조합,서울특별시 서대문구 연희동 740- 연희성원,0,성원건설,A12071101,8,0231426578,64387.243,95,38,128,320,연희성원,89550,023263500,22,연희성원.apti.co.kr,20010531,17,581,22,50980.04,03719
1141011700,아파트,혼합식,개별난방,자치관리,분양,서울특별시 서대문구 동교로 291,212,임광토건,서울특별시 서대문구 연희동 738- 연희임광아파트,3,임광토건,A12071102,2,023321242,20375.92,36,0,140,36,연희임광아파트,30573.39,023321272,18, ,19990224,4,212,18,15580.72,03716
1141012000,아파트,계단식,지역난방,위탁관리,혼합,서울특별시 서대문구 거북골로 120,473,주택조합,서울특별시 서대문구 남가좌동 381- DMC센트레빌,2,동부건설,A12072801,7,023091489,46536.413,93,0,205,175,DMC센트레빌,76631,023041489,15,가재울센트레빌.apti.co.kr,20090602,21,473,15,35124.81,03690
1141012000,아파트,복도식,개별난방,위탁관리,임대,서울특별시 서대문구 가재울로 45,330,현대사업개발,서울특별시 서대문구 남가좌동 376-2 남가좌현대제2,2,현대사업개발,A12072802,1,023073218,18087.3,0,0,330,0,남가좌현대제2,22115.27,023073217,18,happy.i-sh.co.kr,19990527,4,330,18,10810.8,03710
1141011100,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 서대문구 세무서8길 49,119,공보처주택조합 외,서울특별시 서대문구 홍제동 468- 홍제비콘드림힐,3,비콘건설.청일건설,A12076401,1,023795509,12537.244,15,0,0,104,홍제비콘드림힐,17453,023795500,15, ,20060526,0,119,15,10013.259,03625
1141011900,아파트,복도식,개별난방,위탁관리,임대,서울특별시 서대문구 거북골로 154,267,Sh공사,서울특별시 서대문구 북가좌동 449-1 북가좌삼호제2,1,대림건설,A12076601,1, ,14252.46,0,0,267,0,북가좌삼호제2,14253.15,023023751,18,www.i-sh.co.kr/happy/intro.do,19960216,3,267,18,8410.5,03690
1141011100,아파트,복도식,개별난방,위탁관리,임대,서울특별시 서대문구 통일로34길 46,246, ,서울특별시 서대문구 홍제동 460-1 인왕산현대,0, ,A12078201,1,023941264,11566.92,0,0,246,0,인왕산현대,13529.94,023944236,18, ,20000705,3,246,18,8036.82,03633
1141011100,아파트,혼합식,개별난방,위탁관리,분양,서울특별시 서대문구 통일로34길 43,939,현대건설,서울특별시 서대문구 홍제동 459- 홍제원 현대,2,현대건설,A12078704,15,023950181,102766.07,283,0,298,358,홍제원 현대,128749.57,023950179,18, ,20000614,0,939,18,80719.1,03631
